Year,Semester,CouseCode, CourseName,TotalStudents,StudentsTaken,Rate
2003,1,ECE20016,자바프로그래밍언어,125,15,12.0%
2003,2,ECE20016,자바프로그래밍언어,104,0,0.0%
2003,3,ECE20016,자바프로그래밍언어,19,0,0.0%
2003,4,ECE20016,자바프로그래밍언어,29,0,0.0%
2004,1,ECE20016,자바프로그래밍언어,96,30,31.3%
2004,2,ECE20016,자바프로그래밍언어,86,0,0.0%
2004,3,ECE20016,자바프로그래밍언어,24,0,0.0%
2004,4,ECE20016,자바프로그래밍언어,30,0,0.0%
2005,1,ECE20016,자바프로그래밍언어,82,11,13.4%
2005,2,ECE20016,자바프로그래밍언어,72,0,0.0%
2005,3,ECE20016,자바프로그래밍언어,30,0,0.0%
2005,4,ECE20016,자바프로그래밍언어,40,0,0.0%
2006,1,ECE20016,자바프로그래밍언어,92,4,4.3%
2006,2,ECE20016,자바프로그래밍언어,95,7,7.4%
2006,3,ECE20016,자바프로그래밍언어,27,0,0.0%
2006,4,ECE20016,자바프로그래밍언어,40,0,0.0%
2007,1,ECE20016,자바프로그래밍언어,112,12,10.7%
2007,2,ECE20016,자바프로그래밍언어,106,0,0.0%
2007,3,ECE20016,자바프로그래밍언어,47,0,0.0%
2007,4,ECE20016,자바프로그래밍언어,36,0,0.0%
2008,1,ECE20016,자바프로그래밍언어,88,4,4.5%
2008,2,ECE20016,자바프로그래밍언어,85,0,0.0%
2008,3,ECE20016,자바프로그래밍언어,31,0,0.0%
2008,4,ECE20016,자바프로그래밍언어,30,0,0.0%
